Date,District,Max Temperature (°C),Min Temperature (°C),Avg Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Weather Condition
2023-01-01,Hyderabad,31.9,15.5,23.7,0.0,62.5,8.4,Rainy
2023-01-01,Warangal,33.4,21.5,27.5,0.0,88.2,13.3,Sunny
2023-01-01,Nizamabad,37.6,19.0,28.3,21.8,61.2,3.1,Rainy
2023-01-01,Karimnagar,41.8,23.4,32.6,0.0,83.5,6.3,Rainy
2023-01-01,Khammam,29.0,16.6,22.8,0.0,87.0,6.0,Cloudy
2023-01-01,Adilabad,38.2,27.6,32.9,75.3,74.1,2.9,Cloudy
2023-01-01,Mahabubnagar,31.0,20.0,25.5,0.0,41.0,5.9,Cloudy
2023-01-01,Nalgonda,39.8,24.8,32.3,0.0,72.2,10.8,Sunny
2023-01-01,Medak,36.0,18.6,27.3,0.0,84.0,12.0,Sunny
2023-01-01,Siddipet,29.7,26.0,27.9,0.0,87.4,13.2,Sunny
2023-01-02,Hyderabad,31.3,20.6,26.0,0.0,42.3,4.8,Rainy
2023-01-02,Warangal,32.7,19.1,25.9,0.0,50.1,2.1,Rainy
2023-01-02,Nizamabad,37.6,26.1,31.9,88.5,86.8,5.0,Rainy
2023-01-02,Karimnagar,28.6,24.8,26.7,0.0,73.5,6.8,Cloudy
2023-01-02,Khammam,38.1,24.3,31.2,0.0,88.6,9.4,Partly Cloudy
2023-01-02,Adilabad,37.9,15.1,26.5,0.0,58.9,5.1,Partly Cloudy
2023-01-02,Mahabubnagar,41.9,21.7,31.8,0.0,81.3,3.5,Cloudy
2023-01-02,Nalgonda,32.9,19.8,26.4,0.0,57.6,3.4,Partly Cloudy
2023-01-02,Medak,37.4,22.0,29.7,0.0,64.9,13.0,Cloudy
2023-01-02,Siddipet,28.0,20.1,24.1,0.0,42.4,3.6,Sunny
2023-01-03,Hyderabad,32.6,23.2,27.9,39.6,65.9,11.5,Cloudy
2023-01-03,Warangal,29.3,27.3,28.3,0.0,63.1,2.0,Rainy
2023-01-03,Nizamabad,40.3,26.8,33.6,0.0,48.2,12.7,Sunny
2023-01-03,Karimnagar,38.8,22.8,30.8,0.0,42.8,13.1,Cloudy
2023-01-03,Khammam,34.4,25.2,29.8,12.9,60.7,2.8,Rainy
2023-01-03,Adilabad,41.6,26.0,33.8,0.0,73.3,8.4,Partly Cloudy
2023-01-03,Mahabubnagar,35.0,23.3,29.2,0.0,88.2,7.5,Cloudy
2023-01-03,Nalgonda,41.9,25.0,33.5,6.2,65.3,13.9,Cloudy
2023-01-03,Medak,31.0,19.2,25.1,0.0,85.8,10.9,Partly Cloudy
2023-01-03,Siddipet,40.8,24.1,32.5,0.0,56.6,6.1,Sunny
2023-01-04,Hyderabad,40.6,25.7,33.2,116.4,82.0,5.5,Sunny
2023-01-04,Warangal,31.4,27.9,29.6,0.0,66.1,4.3,Sunny
2023-01-04,Nizamabad,39.9,15.2,27.6,0.0,50.0,12.7,Partly Cloudy
2023-01-04,Karimnagar,29.3,18.0,23.6,0.0,57.5,8.3,Partly Cloudy
2023-01-04,Khammam,41.9,21.3,31.6,58.3,60.2,10.8,Rainy
2023-01-04,Adilabad,35.1,15.0,25.1,0.0,89.5,13.7,Partly Cloudy
2023-01-04,Mahabubnagar,39.7,15.2,27.4,0.0,55.6,9.7,Cloudy
2023-01-04,Nalgonda,41.5,24.2,32.9,39.9,87.8,8.4,Sunny
2023-01-04,Medak,32.4,20.1,26.3,22.4,77.9,7.1,Rainy
2023-01-04,Siddipet,31.9,25.9,28.9,0.0,53.9,7.4,Sunny
2023-01-05,Hyderabad,37.2,24.8,31.0,0.0,54.0,6.2,Sunny
2023-01-05,Warangal,37.3,20.5,28.9,0.0,84.7,3.1,Rainy
2023-01-05,Nizamabad,34.3,18.1,26.2,0.0,90.0,8.5,Partly Cloudy
2023-01-05,Karimnagar,41.8,18.2,30.0,96.9,47.4,13.6,Sunny
2023-01-05,Khammam,33.8,20.1,26.9,0.0,75.2,11.6,Rainy
2023-01-05,Adilabad,31.3,20.0,25.7,0.0,88.1,11.5,Rainy
2023-01-05,Mahabubnagar,37.3,25.9,31.6,0.0,63.3,3.0,Cloudy
2023-01-05,Nalgonda,33.5,24.1,28.8,0.0,71.0,5.3,Sunny
2023-01-05,Medak,40.1,19.2,29.6,0.0,43.0,7.9,Partly Cloudy
2023-01-05,Siddipet,39.8,25.0,32.4,0.0,61.9,8.3,Cloudy
2023-01-06,Hyderabad,41.7,17.3,29.5,103.4,80.5,12.3,Rainy
2023-01-06,Warangal,30.7,19.5,25.1,0.0,57.4,13.5,Cloudy
2023-01-06,Nizamabad,40.9,15.2,28.1,0.0,48.4,4.3,Sunny
2023-01-06,Karimnagar,39.1,23.7,31.4,0.0,44.8,3.3,Partly Cloudy
2023-01-06,Khammam,33.9,19.5,26.7,0.0,57.6,8.5,Partly Cloudy
2023-01-06,Adilabad,37.4,24.9,31.2,0.0,45.1,12.8,Cloudy
2023-01-06,Mahabubnagar,28.6,18.5,23.6,12.0,76.3,9.4,Sunny
2023-01-06,Nalgonda,34.8,16.5,25.7,0.0,51.7,7.3,Cloudy
2023-01-06,Medak,39.1,26.9,33.0,0.0,77.1,12.6,Cloudy
2023-01-06,Siddipet,37.4,23.0,30.2,81.6,72.2,14.8,Rainy
2023-01-07,Hyderabad,33.7,21.3,27.5,108.7,53.7,9.3,Rainy
2023-01-07,Warangal,29.1,27.1,28.1,0.0,57.6,5.5,Rainy
2023-01-07,Nizamabad,41.2,26.0,33.6,0.0,77.2,11.6,Rainy
2023-01-07,Karimnagar,32.9,22.7,27.8,0.0,89.2,2.2,Rainy
2023-01-07,Khammam,33.0,22.5,27.7,56.6,80.4,4.9,Sunny
2023-01-07,Adilabad,31.3,17.6,24.4,0.0,45.5,4.8,Sunny
2023-01-07,Mahabubnagar,29.3,26.5,27.9,0.0,55.0,6.9,Sunny
2023-01-07,Nalgonda,28.9,18.4,23.6,0.0,70.8,13.0,Sunny
2023-01-07,Medak,37.8,18.9,28.3,0.0,83.5,13.7,Rainy
2023-01-07,Siddipet,41.7,27.3,34.5,110.8,84.9,11.1,Rainy
2023-01-08,Hyderabad,30.2,28.0,29.1,0.0,60.5,13.4,Sunny
2023-01-08,Warangal,35.8,17.6,26.7,0.0,71.3,5.3,Rainy
2023-01-08,Nizamabad,40.9,16.2,28.6,0.0,48.2,11.3,Sunny
2023-01-08,Karimnagar,35.3,17.0,26.1,0.0,61.1,7.3,Partly Cloudy
2023-01-08,Khammam,38.1,23.5,30.8,65.6,48.2,12.0,Sunny
2023-01-08,Adilabad,30.7,22.9,26.8,0.0,58.7,11.7,Rainy
2023-01-08,Mahabubnagar,36.4,17.4,26.9,0.0,72.2,8.9,Rainy
2023-01-08,Nalgonda,40.4,27.6,34.0,50.0,58.3,7.8,Cloudy
2023-01-08,Medak,32.8,16.8,24.8,98.5,43.0,15.0,Cloudy
2023-01-08,Siddipet,35.8,19.5,27.6,0.0,74.4,3.7,Rainy
2023-01-09,Hyderabad,38.1,21.7,29.9,0.0,44.7,8.6,Rainy
2023-01-09,Warangal,37.0,16.6,26.8,0.0,80.5,8.9,Sunny
2023-01-09,Nizamabad,32.1,20.7,26.4,0.0,77.9,8.5,Sunny
2023-01-09,Karimnagar,39.7,26.8,33.2,64.6,60.1,10.2,Sunny
2023-01-09,Khammam,29.4,25.7,27.5,0.0,47.6,5.3,Cloudy
2023-01-09,Adilabad,30.0,20.1,25.1,100.0,42.0,9.9,Cloudy
2023-01-09,Mahabubnagar,34.2,20.8,27.5,0.0,48.2,10.1,Partly Cloudy
2023-01-09,Nalgonda,40.4,20.2,30.3,0.0,44.4,12.5,Partly Cloudy
2023-01-09,Medak,38.6,26.2,32.4,0.0,52.8,14.1,Sunny
2023-01-09,Siddipet,34.3,17.9,26.1,95.9,73.9,6.9,Partly Cloudy
2023-01-10,Hyderabad,40.7,25.3,33.0,0.0,74.9,11.4,Partly Cloudy
2023-01-10,Warangal,32.8,26.3,29.6,48.9,47.2,7.7,Sunny
2023-01-10,Nizamabad,31.1,21.4,26.3,53.5,79.7,14.3,Partly Cloudy
2023-01-10,Karimnagar,30.5,15.1,22.8,0.0,71.1,5.6,Sunny
2023-01-10,Khammam,36.9,15.1,26.0,0.0,85.3,8.4,Partly Cloudy
2023-01-10,Adilabad,34.3,15.2,24.7,117.6,47.2,14.6,Rainy
2023-01-10,Mahabubnagar,29.8,19.2,24.5,0.0,72.0,12.9,Sunny
2023-01-10,Nalgonda,35.4,20.3,27.8,0.0,62.1,4.1,Sunny
2023-01-10,Medak,28.3,21.9,25.1,0.0,49.1,14.3,Rainy
2023-01-10,Siddipet,41.5,20.4,31.0,0.0,69.7,13.1,Sunny
2023-01-11,Hyderabad,38.9,28.0,33.4,0.0,53.0,4.3,Sunny
2023-01-11,Warangal,32.6,21.3,26.9,0.0,84.0,5.6,Sunny
